"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 00:30","2020","05","01","00:30","-1.3","","-3.5","","85","","","","29","","19","","24.1","","100.93","","","","-7","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 01:30","2020","05","01","01:30","-0.6","","-4.0","","78","","","","28","","18","","24.1","","100.92","","","","-6","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 02:30","2020","05","01","02:30","-0.5","","-4.8","","73","","","","28","","17","","24.1","","100.92","","","","-5","","Clear"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 03:30","2020","05","01","03:30","1.8","","-4.6","","63","","","","28","","24","","24.1","","100.92","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 04:30","2020","05","01","04:30","1.3","","-5.2","","62","","","","27","","23","","24.1","","100.90","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 05:30","2020","05","01","05:30","3.4","","-5.0","","54","","","","28","","20","","24.1","","100.92","","","","","","Mainly Clear"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 06:30","2020","05","01","06:30","6.0","","-4.7","","46","","","","28","","18","","24.1","","100.92","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 07:30","2020","05","01","07:30","8.5","","-5.5","","37","","","","29","","15","","24.1","","100.95","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 08:30","2020","05","01","08:30","11.0","","-6.3","","29","","","","30","","23","","24.1","","100.95","","","","","","Mostly Cloudy"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 09:30","2020","05","01","09:30","13.0","","-7.7","","23","","","","31","","21","","24.1","","100.93","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 10:30","2020","05","01","10:30","13.9","","-11.2","","16","","","","30","","26","","24.1","","100.90","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 11:30","2020","05","01","11:30","14.4","","-8.3","","20","","","","29","","23","","24.1","","100.89","","","","","","Mostly Cloudy"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 12:30","2020","05","01","12:30","15.3","","-11.1","","15","","","","31","","18","","24.1","","100.84","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 13:30","2020","05","01","13:30","16.3","","-9.6","","16","","","","30","","26","","24.1","","100.82","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 14:30","2020","05","01","14:30","16.0","","-9.4","","16","","","","30","","25","","24.1","","100.78","","","","","","Mostly Cloudy"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 15:30","2020","05","01","15:30","16.0","","-7.7","","19","","","","29","","26","","24.1","","100.75","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 16:30","2020","05","01","16:30","14.9","","-6.5","","22","","","","29","","28","","24.1","","100.72","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 17:30","2020","05","01","17:30","13.6","","-10.3","","18","","","","27","","29","","24.1","","100.72","","","","","","Mainly Clear"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 18:30","2020","05","01","18:30","11.4","","-11.2","","19","","","","28","","28","","24.1","","100.72","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 19:30","2020","05","01","19:30","8.7","","-6.6","","33","","","","28","","23","","24.1","","100.74","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 20:30","2020","05","01","20:30","7.3","","-5.3","","41","","","","22","","14","","24.1","","100.75","","","","","","Mostly Cloudy"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 21:30","2020","05","01","21:30","5.7","","-7.2","","39","","","","23","","17","","24.1","","100.68","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 22:30","2020","05","01","22:30","5.2","","-8.9","","35","","","","27","","26","","24.1","","100.59","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-01 23:30","2020","05","01","23:30","4.2","","-9.2","","37","","","","26","","23","","24.1","","100.52","","","","","","Clear"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-02 00:30","2020","05","02","00:30","4.0","","-10.1","","35","","","","25","","22","","24.1","","100.46","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-02 01:30","2020","05","02","01:30","3.9","","-9.6","","37","","","","26","","30","","24.1","","100.39","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-02 02:30","2020","05","02","02:30","3.5","","-9.8","","37","","","","26","","26","","24.1","","100.35","","","","","","Clear"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-02 03:30","2020","05","02","03:30","4.1","","-7.7","","42","","","","25","","31","","24.1","","100.27","","","","","","NA"
"-52.75","47.62","ST. JOHN'S INTL A","8403505","2020-05-02 04:30","2020","05","02","04:30","4.6","","-2.2","","62","","","","25","","20","","24.1","","100.20","","","","","","NA"
